GRPO Finetuning Log - Started at 2026-02-19 15:34:01
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='airl_grpo_latest.pth', iterations=500, num_prompts=32, group_size=8, policy_updates=10, batch_size=64, lr=0.0001, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, expert_trajs_per_iter=20, use_her=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='grpo_best.pth', latest_save_path='grpo_latest.pth', log_file='grpo_log.txt')
Iter	Policy Loss	Avg Reward	Avg Eval Reward	Avg Hue L1	Avg Value L1
278	0.067830	-0.541352	2.216377	0.003508	0.008715
279	0.166821	-0.666474	2.958402	0.003382	0.007671
280	0.149132	-0.699554	0.796964	0.003659	0.008875
281	0.000311	-0.534920	3.970807	0.003351	0.009769
282	0.170951	-0.418322	0.956540	0.003354	0.009356
283	0.072538	-0.593838	-1.390786	0.003509	0.009847
284	0.062944	-0.371253	3.055592	0.003799	0.010241
285	0.018527	-0.479449	3.275413	0.003193	0.012411
286	0.244322	-0.532942	3.503156	0.002838	0.010765
287	0.077940	-0.555839	2.744671	0.002503	0.011491
288	0.177099	-0.476659	2.427799	0.003158	0.012344
289	0.243555	-0.439998	2.190030	0.003669	0.011684
290	0.206534	-0.474793	6.896325	0.003182	0.011649
291	0.167776	-0.621525	0.166720	0.003667	0.011193
292	0.143670	-0.605533	4.830666	0.002982	0.011724
293	0.091620	-0.631138	4.555991	0.003410	0.011087
294	0.151589	-0.420365	-2.181442	0.003048	0.010841
295	0.195638	-0.446247	7.345022	0.003307	0.010109
296	0.124636	-0.326332	9.262604	0.003103	0.010902
297	-0.028282	-0.495781	1.399828	0.002938	0.010110
298	0.235317	-0.535262	1.595683	0.003761	0.015955
299	0.185942	-0.658218	1.761748	0.003197	0.010054
300	0.065300	-0.514292	2.680082	0.003529	0.008929
301	0.167899	-0.505225	10.262083	0.003954	0.013175
302	0.021880	-0.532695	0.529198	0.003158	0.012156
303	0.147797	-0.652661	5.157308	0.003201	0.009843
304	0.060148	-0.666840	2.177956	0.003199	0.012578
305	0.078520	-0.555629	3.056961	0.003326	0.008027
306	0.153934	-0.545914	-3.132886	0.003425	0.011284
307	0.055120	-0.578984	-1.256076	0.003642	0.009246
308	0.218379	-0.264351	-0.407137	0.003411	0.009217
