AIRL Training Log - Started at 2026-02-18 22:03:19
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='bc_latest.pth', iterations=200, expert_trajs_per_iter=50, policy_steps_per_iter=1000, disc_updates=5, policy_updates=10, batch_size=64, lr=0.0001, aux_weight=0.1, clip_epsilon=0.2, value_coef=0.5, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, use_her=True, her_in_expert=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='airl_best.pth', latest_save_path='airl_latest.pth', log_file='airl_log.txt')
Iter	Disc Loss	Policy Loss	Avg Reward	Avg Hue L1	Avg Value L1
121	1.284023	18.548629	-1.000824	0.003199	0.011516
122	1.315506	15.384480	-0.986188	0.003315	0.009241
123	1.280845	24.986883	-1.280847	0.002448	0.014108
124	1.445216	29.987159	-1.258270	0.002797	0.011740
125	1.366640	14.551913	-0.955740	0.003407	0.010535
126	1.374508	16.058754	-1.016858	0.002877	0.012884
127	1.394686	12.802157	-0.851472	0.003386	0.012414
128	1.356859	12.350309	-0.534814	0.004005	0.012206
129	1.408842	10.661397	-0.150887	0.003692	0.010895
130	1.491392	15.425603	0.218657	0.002417	0.013414
131	1.475665	19.751865	0.427171	0.003850	0.012763
132	1.692966	22.225106	0.687429	0.003978	0.010945
133	1.650699	27.081151	0.987622	0.003794	0.011289
134	1.665471	25.529582	1.097680	0.002518	0.008542
135	1.662900	27.904182	1.211574	0.002952	0.010428
136	1.681549	35.302762	1.394837	0.002968	0.015082
137	1.804310	24.330125	1.253139	0.003198	0.009594
138	1.738345	7.450219	0.909900	0.002595	0.013849
139	1.669412	3.714595	0.630374	0.003210	0.011854
140	1.643468	2.050475	0.297300	0.002559	0.015797
141	1.630119	2.951372	0.165183	0.002911	0.013657
142	1.590877	2.580504	0.032946	0.003073	0.013800
143	1.573257	2.926146	-0.139280	0.003298	0.014431
144	1.493959	3.008364	-0.170886	0.003006	0.014801
145	1.538784	2.193364	-0.220044	0.003192	0.013128
146	1.576108	3.418031	-0.292673	0.003853	0.012526
147	1.585064	5.265441	-0.480186	0.003840	0.014260
148	1.602009	9.928149	-0.716495	0.003143	0.014482
149	1.608295	20.164069	-1.037386	0.002918	0.012664
150	1.622685	25.995399	-1.283710	0.004015	0.008697
151	1.738709	33.617605	-1.473867	0.003408	0.014177
152	1.650131	32.749955	-1.539213	0.003280	0.015281
153	1.537085	46.280540	-1.557704	0.003051	0.012939
154	1.583444	39.612708	-1.686248	0.004455	0.014096
155	1.494327	33.777102	-1.721266	0.002416	0.013282
156	1.550162	36.343402	-1.710138	0.004860	0.011892
157	1.673272	35.737304	-1.736209	0.004166	0.014766
158	1.590200	28.002236	-1.762398	0.003937	0.013451
159	1.583304	36.019846	-1.688854	0.004290	0.012215
160	1.436866	25.329476	-1.641121	0.004016	0.015473
161	1.502208	17.964455	-1.565685	0.003395	0.012211
162	1.432296	26.896306	-1.452834	0.003566	0.011120
163	1.519599	27.401145	-1.400259	0.003333	0.011039
164	1.506527	17.861937	-1.349573	0.003352	0.012340
165	1.393899	15.421846	-1.151755	0.003493	0.015278
166	1.362924	17.060612	-1.146882	0.003662	0.012951
167	1.397338	18.897061	-0.943943	0.003793	0.014037
168	1.360479	14.848944	-0.854311	0.003392	0.016380
169	1.397683	12.903312	-0.789935	0.003182	0.013192
170	1.358663	11.805619	-0.565384	0.003497	0.012958
171	1.385732	8.184272	-0.418617	0.003289	0.013429
172	1.323055	7.747838	-0.370646	0.003184	0.009116
173	1.306203	10.615362	-0.370622	0.003500	0.012330
174	1.435290	10.047427	-0.240049	0.003004	0.010781
175	1.341107	13.548835	-0.026870	0.003357	0.012380
176	1.436308	12.637304	0.115289	0.002804	0.014546
177	1.322703	13.369160	0.097086	0.003067	0.014658
178	1.450880	9.827056	0.204632	0.003448	0.011881
179	1.435525	12.821552	0.310485	0.002979	0.009322
180	1.550884	10.083084	0.352607	0.002734	0.012066
181	1.402784	13.380430	0.428364	0.002963	0.013579
182	1.455128	11.616155	0.466025	0.003541	0.013179
183	1.559636	13.936271	0.631573	0.004112	0.013790
184	1.458243	15.727464	0.733095	0.003670	0.013946
185	1.574576	19.392818	0.801509	0.002561	0.009399
186	1.510529	16.114285	0.801978	0.003700	0.011439
187	1.538939	16.273709	0.930938	0.002816	0.009945
188	1.542264	18.322699	0.958693	0.002692	0.014661
189	1.564165	16.678730	0.909745	0.003104	0.012387
190	1.434075	14.455833	0.910487	0.003205	0.012841
191	1.543845	14.000229	0.974215	0.002670	0.008566
192	1.547445	13.178808	0.987333	0.002990	0.011336
193	1.512954	7.641119	0.964443	0.002932	0.011470
194	1.446353	10.100418	0.869282	0.002722	0.011260
195	1.536803	8.026305	0.851634	0.002878	0.009818
196	1.549168	4.240276	0.736629	0.002934	0.010414
197	1.532975	4.478176	0.666517	0.002692	0.009550
198	1.496214	2.577829	0.567093	0.003174	0.009119
199	1.421300	1.742855	0.507839	0.003127	0.012213
200	1.422154	1.434460	0.389905	0.002731	0.012818
Training finished at 2026-02-19 00:03:42
