AIRL+GRPO Training Log - Started at 2026-02-19 10:34:54
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='bc_latest.pth', iterations=200, expert_trajs_per_iter=50, num_prompts=32, group_size=8, disc_updates=5, batch_size=64, lr=0.0001, aux_weight=0.1, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, use_her=True, her_in_expert=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='airl_grpo_best.pth', latest_save_path='airl_grpo_latest.pth', log_file='airl_grpo_log.txt')
Iter	Disc Loss	Policy Loss	Avg Reward	Avg Hue L1	Avg Value L1
138	1.388364	0.167783	-0.617955	0.002849	0.010895
139	1.376777	-0.089340	-0.634415	0.002889	0.014411
140	1.412768	0.078207	-0.709742	0.002291	0.009374
141	1.394889	0.153360	-0.673998	0.003243	0.012522
142	1.404907	0.245222	-0.549585	0.003030	0.010187
143	1.460932	0.145777	-0.571762	0.003624	0.011690
144	1.423519	-0.032699	-0.531662	0.003107	0.011632
145	1.369405	0.100906	-0.508480	0.002443	0.012372
146	1.338506	0.250356	-0.735633	0.002597	0.012009
147	1.434477	0.116577	-0.552737	0.002440	0.010667
148	1.294107	0.223975	-0.721679	0.003174	0.012757
149	1.280403	0.335605	-0.667369	0.003419	0.009678
150	1.363355	0.279754	-0.694727	0.002184	0.011557
151	1.271783	-0.082453	-0.808819	0.002506	0.010747
152	1.362584	0.105224	-0.705751	0.003169	0.010618
153	1.379773	0.111333	-0.720046	0.002561	0.012545
154	1.381832	0.161341	-0.803733	0.003344	0.009169
155	1.380680	0.236501	-0.610726	0.002662	0.012146
156	1.276253	0.200249	-0.738668	0.002713	0.011653
157	1.391712	0.079555	-0.952684	0.003112	0.008886
158	1.267665	0.168272	-0.841910	0.002911	0.009709
159	1.397314	0.073489	-0.839660	0.003122	0.012055
160	1.409015	0.098141	-0.568829	0.003556	0.013216
161	1.463068	-0.124763	-0.485450	0.002730	0.011649
162	1.378271	0.123150	-0.885605	0.002902	0.010836
163	1.386241	0.126070	-0.892344	0.002928	0.011123
164	1.325569	0.081973	-0.625470	0.002867	0.010063
165	1.309287	0.129997	-0.833288	0.002546	0.007719
166	1.369649	0.420395	-0.546663	0.002461	0.011479
167	1.376927	0.021124	-0.741751	0.002886	0.011147
168	1.416780	0.461611	-0.946634	0.003204	0.011474
169	1.400903	0.239878	-0.461954	0.003393	0.009799
170	1.400736	0.077357	-0.798798	0.002862	0.009595
171	1.283231	0.252805	-0.740696	0.002717	0.011250
172	1.385386	0.266225	-0.683354	0.002741	0.013893
173	1.407799	0.069080	-0.557847	0.002460	0.009413
